fuel_type_code,station_name,street_address,intersection_directions,city,state,zip,plus4,station_phone,status_code,expected_date,groups_with_access_code,access_days_time,cards_accepted,bd_blends,ng_fill_type_code,ng_psi,ev_level1_evse_num,ev_level2_evse_num,ev_dc_fast_count,ev_other_info,ev_network,ev_network_web,geocode_status,latitude,longitude,date_last_confirmed,id,location
LPG,Welchgas - Welch Propane,1500 FM 989,"On S Kings Highway, 1 mile north of Highway 59, 4 miles southeast of IH 30",Texarkana,TX,75501,,903-831-3420,E,,Public - see hours,"8am-5:30pm M-F, 8am-12pm Sat",Cash D M V,,,,,,,,,,200-8,33.3650402,-94.074862,2011-10-31,22077,POINT(-94.074862 33.3650402)
LPG,Welchgas,319 North St,1 mile north of Highway 77 on Highway 8,Douglassville,TX,75556,,903-846-2370,E,,Public - call ahead,8am-12pm and 1pm-5pm M-F,Cash Checks D M V,,,,,,,,,,GPS,33.203214,-94.350122,2011-10-31,22078,POINT(-94.350122 33.203214)
LPG,Trenton LPGas Co,15384 S Highway 121,,Trenton,TX,75490,,903-989-2784,E,,Public - see hours,8am-5pm M-F,Cash Checks A D M V,,,,,,,,,,200-8,33.424137,-96.361119,2011-10-31,22080,POINT(-96.361119 33.424137)
LPG,Tri-Co Propane,2727 S FM 2184,On Highway 36,Rogers,TX,76569,,254-642-3885,E,,Public - see hours,"8am-5pm M-F, 9am-12pm Sat",Cash Checks A D M V,,,,,,,,,,200-8,30.9298286,-97.2568381,2011-10-31,22082,POINT(-97.2568381 30.9298286)
LPG,Tucker Oil Co,910 Industrial Dr,Business Highway 84,Slaton,TX,79364,,806-828-6277,E,,Public - see hours,"7:30am-5:30pm M-F, 7:30am-12pm Sat",Cash Checks M V,,,,,,,,,,200-8,33.4519069,-101.6557698,2011-10-31,22088,POINT(-101.6557698 33.4519069)
LPG,Turtle Bayou RV Park,25128 Interstate 10 E,"2 miles east of Jack-In-The-Box Highway 563, exit 812 E, near IH-61",Wallisville,TX,77597,,409-389-2468,E,,Public - call ahead,8am-dusk daily,Cash,,,,,,,,,,200-8,29.83991,-94.700245,2011-10-31,22089,POINT(-94.700245 29.83991)
LPG,Johnston Propane,4004 N County Rd W,1 block south of W 42nd St,Odessa,TX,79764,,432-366-8836,E,,Public - see hours,"7:30am-5:30pm M-F, 8am-12pm Sat",Cash Checks D M V,,,,,,,,,,200-8,31.87698,-102.4003989,2011-10-31,22090,POINT(-102.4003989 31.87698)
LPG,Traylor Motor Homes,1216 N I-45,,Palmer,TX,75152,,972-291-2067,E,,Public - see hours,9am-5:30pm M-F,Cash Checks A D M V,,,,,,,,,,200-8,32.437594,-96.65949,2011-10-31,22096,POINT(-96.65949 32.437594)
LPG,Independent Propane Co,110 Highway 37,Highway 37 south of Winnsboro,Winnsboro,TX,75494,,903-629-7047,E,,Public - call ahead,8am-5pm M-F,Cash A D M V,,,,,,,,,,200-8,32.9568619,-95.2904996,2011-10-31,22100,POINT(-95.2904996 32.9568619)
LPG,Taylor Butane Co,3202 W 2nd,0.5 mile west of Taylor,Taylor,TX,76574,,512-352-5248,E,,Public - call ahead,8am-5pm M-F,Cash D M V,,,,,,,,,,200-8,30.564975,-97.446061,2011-10-31,22101,POINT(-97.446061 30.564975)
LPG,Tex Butane,100 S Main,1 mile south of IH-10,Schulenburg,TX,78956,,979-743-3351,E,,Public - see hours,8am-5pm M-F,Cash M V,,,,,,,,,,200-8,29.678532,-96.89836,2011-10-31,22103,POINT(-96.89836 29.678532)
LPG,MK Gas,2110 N Main,"On Old Main St, behind New Main St",Junction,TX,76849,,325-446-2863,E,,Public - call ahead,9am-5pm M-F,Cash A D M V,,,,,,,,,,200-8,30.500716,-99.7781966,2011-10-31,22105,POINT(-99.7781966 30.500716)
LPG,Texas RV Supply Co,2211 Austin Hwy,"Off Highway 410 W, between Eisenhauer and Perrin Beitel",San Antonio,TX,78218,,210-655-1761,E,,Public - see hours,7:30am-5pm M-F,Cash Checks A D M V,,,,,,,,,,200-8,29.505707,-98.4150219,2011-10-31,22109,POINT(-98.4150219 29.505707)
LPG,Kerrville KOA,2400 Goat Creek Rd,"1.5 miles south of IH-10, exit 501",Kerrville,TX,78028,,830-895-1665,E,,Public - see hours,8am-7pm daily,Cash Checks A D M V,,,,,,,,,,200-8,30.0917957,-99.1996824,2011-10-31,22111,POINT(-99.1996824 30.0917957)
LPG,Thomas Propane,4600 Highway 6 W,West of De Leon,De Leon,TX,76444,,254-893-2277,E,,Public - call ahead,8am-5pm M-F; 8am-12pm Sat,Cash D M V,,,,,,,,,,200-8,32.1220008,-98.5492986,2011-10-31,22116,POINT(-98.5492986 32.1220008)
LPG,Thousand Trails,1062 Thousand Trails Ln,"FM 1890/shaws bend rd off of rte 71, turn left at Thousand Trails sign",Columbus,TX,78934,,979-732-8229,E,,Public - see hours,"7am-5pm M-F, 8am-12pm Sat",Cash A D M V,,,,,,,,,,GPS,29.730668,-96.607694,2011-10-31,22119,POINT(-96.607694 29.730668)
LPG,Denman Propane,5524 El Paso Dr,0.5 mile south of IH-10 and Paisano,El Paso,TX,79905,,915-779-3280,E,,Public - see hours,"7am-12pm and 1pm-4:30pm M-F, 8am-12pm Sat",Cash Checks A D M V,,,,,,,,,,200-8,31.770923,-106.42423,2011-10-31,22127,POINT(-106.42423 31.770923)
LPG,Smith Propane Co,840 Highway 155 N,0.5 mile north of Gilmer,Gilmer,TX,75644,,903-797-2193,E,,Public - call ahead,8am-5pm M-F; 8am-12pm Sat,Cash Checks A D M V,,,,,,,,,,200-8,32.7566292,-94.9273648,2011-10-31,22130,POINT(-94.9273648 32.7566292)
LPG,Stafford's Liquigas,1404 N Raguet,1.5 miles east of Highway 103,Lufkin,TX,75901,,936-634-2268,E,,Public - see hours,8am-5pm M-F,Cash D M V,,,,,,,,,,200-8,31.350008,-94.741175,2011-10-31,22135,POINT(-94.741175 31.350008)
LPG,Stephens County Propane,1452 US 180 E,Behind Texas Sunware,Breckenridge,TX,76424,,254-559-8771,E,,Public - see hours,"8am-5pm M-F, 10am-12pm Sat",Cash A D M V,,,,,,,,,,200-8,32.7554237,-98.9205756,2011-10-31,22139,POINT(-98.9205756 32.7554237)
LPG,Ferrellgas,2500 E University Dr,West of Loop 288,Denton,TX,76209,,940-382-2538,E,,Public - call ahead,Call ahead for arrangements,Cash Checks A D M V,,,,,,,,,,200-8,33.234203,-97.098245,2011-10-31,22142,POINT(-97.098245 33.234203)
LPG,Super Blend Gas,1921 N Wood St,Highway 271 N,Gilmer,TX,75644,,903-843-2231,E,,Public - call ahead,8am-5pm M-F,Cash Checks A D M V,,,,,,,,,,200-8,32.7455197,-94.9402528,2011-10-31,22147,POINT(-94.9402528 32.7455197)
LPG,Smith LP Gas Co,601 N Highway 27,At Erskine Road,Lubbock,TX,79403,2608,806-765-9573,E,,Public - see hours,"7:30am-5:30pm M-F, 9am-1pm Sat",Cash Checks A D M V,,,,,,,,,,GPS,33.607216,-101.84625,2011-10-31,22148,POINT(-101.84625 33.607216)
LPG,Smith & Smith Propane Service,327 S 38th,0.25 mile north of Business Highway 190,Killeen,TX,76543,,800-542-1876,E,,Public - see hours,8am-5pm M-Sat,Cash Checks A D M V,,,,,,,,,,200-8,31.106293,-97.704988,2011-10-31,22149,POINT(-97.704988 31.106293)
LPG,Smith Gas Co,1607 Third St,,Floresville,TX,78114,,830-393-2533,E,,Public - call ahead,8am-5pm M-F; 8am-12pm Sat,Cash M V,,,,,,,,,,200-8,29.1314525,-98.1560885,2011-10-31,22151,POINT(-98.1560885 29.1314525)
LPG,McAdam's Propane Co,1745 NE Loop,1 block north of Highway 79 E,Carthage,TX,75633,,903-693-7444,E,,Public - see hours,7am-5pm M-F; 8am-12pm Sat (Sat hours in winter only),Cash A D M V,,,,,,,,,,200-8,32.5597251,-94.34993,2011-10-31,22156,POINT(-94.34993 32.5597251)
LPG,Centergas Fuels,821 W Brown,1.5 blocks east of Highway 70 on Highway 60,Pampa,TX,79065,,806-665-7235,E,,Public - see hours,"6am-5pm M-F, 6am-9am Sat",Cash Checks A D M V,,,,,,,,,,200-8,35.5276286,-100.9683047,2011-10-31,22160,POINT(-100.9683047 35.5276286)
LPG,Silverton Oil Co,253 Co Rd 13,Highway 86 E- last building going east out of town,Silverton,TX,79257,,806-823-2451,E,,Public - see hours,"7:30am-5:30pm M-F, 7:30am-12pm Sat",Cash Checks A D M V,,,,,,,,,,GPS,34.474628,-101.294878,2011-10-31,22165,POINT(-101.294878 34.474628)
LPG,Roberts Grain and Supply,15167 Main St,,Lytle,TX,78052,,800-324-2680,E,,Public - call ahead,"7:30am-6pm M-F, 7:30am-2pm Sat",Cash D M V,,,,,,,,,,200-8,29.2329851,-98.7969122,2011-10-31,22172,POINT(-98.7969122 29.2329851)
LPG,Royce Cantrell Corporation,217 W Graham,0.25 mile south of IH-40,Mclean,TX,79057,,806-779-2431,E,,Public - call ahead,7am-4pm M-F,Cash Checks M V,,,,,,,,,,GPS,35.230978,-100.598756,2011-10-31,22176,POINT(-100.598756 35.230978)
LPG,Rural Gas Supply,140 W Main,16 miles northwest of Fort Worth on Highway 199,Azle,TX,76020,,817-444-4613,E,,Public - call ahead,"8am-5pm M-F, 8am-12pm Sat",Cash Checks,,,,,,,,,,200-8,32.8913998,-97.5433535,2011-10-31,22177,POINT(-97.5433535 32.8913998)
LPG,Sandifer's LP Gas Co,5812 Gulfway Dr,0.25 mile east of Highway 35 on Highway 87 S,Port Arthur,TX,77643,,409-963-1269,E,,Public - see hours,8am-5pm M-F,Cash A D M V,,,,,,,,,,200-8,29.928208,-93.903212,2011-10-31,22181,POINT(-93.903212 29.928208)
LPG,Scarlett Butane Co,213 E Chestnut,380 at the blinking light,Throckmorton,TX,76483,,940-849-3131,E,,Public - see hours,"8am-5pm M-F, 8am-12pm Sat",Cash A D M V,,,,,,,,,,200-8,33.178604,-99.1752854,2011-10-31,22182,POINT(-99.1752854 33.178604)
LPG,First Propane,1803 S Trinity,,Decatur,TX,76234,,940-627-7595,E,,Public - see hours,8am-4pm M-F,Cash Checks A D M V,,,,,,,,,,200-8,33.2200025,-97.5866574,2011-10-31,22185,POINT(-97.5866574 33.2200025)
LPG,Rio Grande Village Store,Rio Grande Village,20 miles southeast of park headquarters; at the end of state Hwy 118,Big Bend National Park,TX,79834,,432-477-2293,E,,Public - call ahead,9am-6pm M-W,Cash A D M V,,,,,,,,,,GPS,29.182392,-102.961339,2011-10-31,22195,POINT(-102.961339 29.182392)
LPG,Ferrellgas,7713 Weber Rd,,Corpus Christi,TX,78415,,361-855-7231,E,,Public - call ahead,8am-5pm M-F,Cash A D M V,,,,,,,,,,200-8,27.691289,-97.4179525,2011-10-31,22197,POINT(-97.4179525 27.691289)
LPG,Propane Energy LTD,302 Boomtown Rd,,Laredo,TX,78044,,956-723-5551,E,,Public - see hours,"8am-5pm M-F, 8am-12pm Sat",Cash Checks A D M V,,,,,,,,,,200-8,27.497429,-99.457119,2011-10-31,22208,POINT(-99.457119 27.497429)
LPG,Penny's Propane,1425 E Mulberry,At Highway 243 and Highway 34,Kaufman,TX,75142,,972-932-2814,E,,Public - call ahead,8am-5pm M-F,Cash A D M V,,,,,,,,,,200-8,32.589272,-96.298416,2011-10-31,22221,POINT(-96.298416 32.589272)
LPG,Petro Products,1311 First St,South of Highway 114,Levelland,TX,79336,,806-894-3656,E,,Public - call ahead,"7:30am-5:30pm M-F, 7:30am-12pm Sat",Cash Checks A D M V,,,,,,,,,,200-8,33.5926682,-102.383925,2011-10-31,22225,POINT(-102.383925 33.5926682)
LPG,Petty Butane Co,11428 Highway 287 W,,Vernon,TX,76384,,940-552-7072,E,,Public - see hours,"6:30am-5pm M-F, 6:30am-12pm Sat",Cash M V,,,,,,,,,,200-8,34.191336,-99.345085,2011-10-31,22226,POINT(-99.345085 34.191336)
LPG,Pflugerville Propane,15525 North I-35,"5 miles north of Austin, next to Tinseltown USA",Pflugerville,TX,78660,,512-251-3931,E,,Public - see hours,"8am-5pm M-F, 8am-12pm Sat",Cash Checks M V,,,,,,,,,,GPS,30.450601,-97.665905,2011-10-31,22227,POINT(-97.665905 30.450601)
LPG,Pippin's Propane Gas Co,319 Highway 50,Interstate Highway 30 at Highway 50,Campbell,TX,75422,,903-454-6565,E,,Public - call ahead,"8am-5pm M-F, 8am-12pm Sat (Sat hours in winter only)",Cash D M V,,,,,,,,,,200-8,33.133817,-95.988157,2011-10-31,22231,POINT(-95.988157 33.133817)
LPG,Independent Propane Co,520 Pan American Dr,2 miles south of Business Highway 59 and Highway 190,Livingston,TX,77351,,936-327-8586,E,,Public - call ahead,"8am-12pm, 1pm-5pm M-F",Cash A D M V,,,,,,,,,,200-8,30.6990235,-94.9360525,2011-10-31,22232,POINT(-94.9360525 30.6990235)
LPG,Potts Gas Co,109 S Texas St,0.5 mile north of Highway 69 and Highway 19 Intersection,Emory,TX,75440,,903-473-2714,E,,Public - see hours,"8am-5pm M-F, 8am-12pm Sat",Cash A D M V,,,,,,,,,,200-8,32.8745263,-95.7654618,2011-10-31,22235,POINT(-95.7654618 32.8745263)
LPG,Potts Gas Co,12728 State Highway 19,2 miles north of IH-20,Canton,TX,75103,,903-567-6338,E,,Public - call ahead,"8am-5pm M-F, 8am-12pm Sat",Cash D M V,,,,,,,,,,200-8,32.6059011,-95.8502966,2011-10-31,22236,POINT(-95.8502966 32.6059011)
LPG,Ferrellgas,3154 Ranger Hwy,Exit 403 off I-20,Weatherford,TX,76088,,817-596-0123,E,,Public - call ahead,Call ahead for arrangements,Cash Checks A D M V,,,,,,,,,,200-8,32.729222,-97.8761169,2011-10-31,22240,POINT(-97.8761169 32.729222)
LPG,Ferrellgas,4410 E Highway 377,,Granbury,TX,76048,,817-596-0123,E,,Public - call ahead,8am-5pm M-F,Cash Checks A D M V,,,,,,,,,,200-8,32.4197903,-97.8554606,2011-10-31,22241,POINT(-97.8554606 32.4197903)
LPG,Ferrellgas,3309 Highway 101,,Bridgeport,TX,76426,,817-596-0123,E,,Public - call ahead,Call ahead for arrangements,Cash Checks A D M V,,,,,,,,,,200-8,33.2337229,-97.7720729,2011-10-31,22242,POINT(-97.7720729 33.2337229)
LPG,Mr. G Propane,3604 N Conway,2 1/2 miles north of route 83 on the right hand side,Mission,TX,78572,,956-519-1171,E,,Public - see hours,8am-11pm daily,Cash Checks A D M V,,,,,,,,,,200-8,26.2511327,-98.3196406,2011-10-31,22248,POINT(-98.3196406 26.2511327)
LPG,Mr. C's Ace Hardware,1201 Precinct Line Rd,,Hurst,TX,76053,,817-282-3428,E,,Public - see hours,"8am-6pm M-Sat, 12pm-4pm Sun",Cash Checks A D M V,,,,,,,,,,200-8,32.8322186,-97.1865121,2011-10-31,22250,POINT(-97.1865121 32.8322186)
LPG,Automatic Gas Co,109 W Rusk St,West of Highway 84 and Highway 259,Mount Enterprise,TX,75681,,903-822-3234,E,,Public - call ahead,8am-5pm M-F,Cash M V,,,,,,,,,,200-8,31.917785,-94.681541,2011-10-31,22251,POINT(-94.681541 31.917785)
LPG,Navasota LP Gas Co,726 W Washington Ave,0.5 mile west of town,Navasota,TX,77868,,936-825-3214,E,,Public - see hours,"8am-12pm and 1pm-5pm M-F, 8am-12pm Sat (Sat hours in winter only)",Cash M V,,,,,,,,,,200-8,30.3838968,-96.0959211,2011-10-31,22253,POINT(-96.0959211 30.3838968)
LPG,Nelson-Putman Propane,206 S Highway 45,1 block south of Highway 34 E,Ennis,TX,75119,,972-875-5871,E,,Public - see hours,8am-5pm M-F,Cash D M V,,,,,,,,,,200-8,32.332992,-96.613963,2011-10-31,22254,POINT(-96.613963 32.332992)
LPG,Jack Oldham Oil,112 N Wilson,North of Highway 287,Dumas,TX,79029,,806-935-2104,E,,Public - see hours,7am-6pm M-F; 7am-12pm Sat,Cash Checks A D M V Voyager Wright_Exp,,,,,,,,,,GPS,35.8543167,-101.9811645,2011-10-31,22261,POINT(-101.9811645 35.8543167)
LPG,Overnight RV Park,900 S Lakeside Dr,,Amarillo,TX,79118,,806-373-1431,E,,Public - call ahead,8:30am-5pm daily,Cash Checks A D M V,,,,,,,,,,200-8,35.1975304,-101.7423768,2011-10-31,22263,POINT(-101.7423768 35.1975304)
LPG,Silsbee Propane,811 N 5th St,,Silsbee,TX,77625,,409-385-2411,E,,Public - see hours,"8am-5pm M-F, 7:30am-12pm Sat (Sat hours in winter only)",Cash A D M V,,,,,,,,,,200-8,30.3547165,-94.1758296,2011-10-31,22264,POINT(-94.1758296 30.3547165)
LPG,P & R Butane,14251 Highway 29,15 miles west of Georgetown,Liberty Hill,TX,78642,,512-259-4710,E,,Public - see hours,"8am-5pm M-F, 8am-12pm Sat (Sat hours Nov-March only)",Cash A D M V,,,,,,,,,,200-8,30.6715946,-97.9184997,2011-10-31,22267,POINT(-97.9184997 30.6715946)
LPG,Mallory's LP Products Inc,1677 Highway 69 S,,Mineola,TX,75773,,903-569-3837,E,,Public - see hours,8am-5pm M-F,Cash A D M V,,,,,,,,,,200-8,32.3312674,-95.300652,2011-10-31,22272,POINT(-95.300652 32.3312674)
LPG,Mallory's LP Products Inc,918 SSW Loop 323,1 mile south of Highway 31 W,Tyler,TX,75712,,903-593-6306,E,,Public - see hours,8am-5pm M-F,Cash A D M V,,,,,,,,,,200-8,32.3034943,-95.3115209,2011-10-31,22273,POINT(-95.3115209 32.3034943)
LPG,Manley Gas Co,1082 Highway 66 W,1 mile west of Greenville,Greenville,TX,75403,,903-455-4551,E,,Public - see hours,8am-4pm M-F,Cash Checks A D M V,,,,,,,,,,200-8,32.9093486,-96.5923741,2011-10-31,22276,POINT(-96.5923741 32.9093486)
LPG,Martin LP Gas,1202 FM 1845,1.5 miles east of Highway 31,Longview,TX,75607,,903-758-0322,E,,Public - see hours,7am-12pm and 1pm-5pm M-F,Cash A D M V,,,,,,,,,,200-8,32.4723167,-94.7677813,2011-10-31,22279,POINT(-94.7677813 32.4723167)
LPG,Martin LP Gas,410 N Highway 79,0.5 mile east from Highway 259 Junction,Henderson,TX,75652,,903-657-3737,E,,Public - call ahead,7am-5pm M-F; 7am-12pm Sat,Cash A D M V,,,,,,,,,,200-8,32.1481225,-94.7883629,2011-10-31,22280,POINT(-94.7883629 32.1481225)
LPG,Matlock Enterprises,801 E Highway 20,"IH-20, exits 216 and 217",Colorado City,TX,79512,,325-728-3430,E,,Public - see hours,7:30am-5:30pm M-F,Cash Checks A D M V,,,,,,,,,,GPS,32.411844,-100.852728,2011-10-31,22281,POINT(-100.852728 32.411844)
LPG,McAdams Propane,3410 East End Blvd S,,Marshall,TX,75671,,903-935-5033,E,,Public - see hours,"8am-5pm M-F, 8am-12pm Sat (Sat hours in winter only)",Cash A D M V,,,,,,,,,,200-8,32.5269241,-94.3514916,2011-10-31,22282,POINT(-94.3514916 32.5269241)
LPG,Midland Sixty Six Oil Co,1612 Garden City Hwy,0.5 mile west of IH-20,Midland,TX,79701,,432-682-9404,E,,Public - see hours,7am-5:30pm M-F,Cash Checks A D M V,,,,,,,,,,200-8,31.986627,-102.053989,2011-10-31,22288,POINT(-102.053989 31.986627)
LPG,Mike's Hardware,2800 N Main,2 miles north of IH-10,Vidor,TX,77662,,409-769-6709,E,,Public - call ahead,"8am-6pm M-F, 8am-5pm Sat, 8am-3pm Sun",Cash A D M V,,,,,,,,,,200-8,30.165349,-94.019422,2011-10-31,22290,POINT(-94.019422 30.165349)
LPG,Modern Butane Co,903 E Third St,1 mile west of IH-44,Burkburnett,TX,76354,,940-569-3331,E,,Public - see hours,7am-5pm M-F,Cash M V,,,,,,,,,,200-8,34.099706,-98.559952,2011-10-31,22293,POINT(-98.559952 34.099706)
LPG,Morales Industries,1324 State Highway 173 N,2 miles off IH-35,Devine,TX,78016,529,830-663-9497,E,,Public - see hours,"8am-5:30pm M-F, 8am-1pm Sat",Cash A D M V,,,,,,,,,,200-8,29.050385,-98.825415,2011-10-31,22294,POINT(-98.825415 29.050385)
LPG,Maass Butane Co,8662 US 77,At Nursery Dr,Lexington,TX,78947,,979-773-2567,E,,Public - see hours,8am-12pm and 1pm-5pm M-F,Cash M V,,,,,,,,,,200-8,29.8054346,-96.9102413,2011-10-31,22295,POINT(-96.9102413 29.8054346)
LPG,Lawrence Propane,984 N State Highway 19,1 mile north of Emory,Emory,TX,75440,,903-473-2570,E,,Public - see hours,8am-5pm M-F,Cash D M V,,,,,,,,,,200-8,32.800025,-95.792169,2011-10-31,22299,POINT(-95.792169 32.800025)
LPG,Propane Gas Co,300 Bluebell Rd,Next to the hospice on Bluebell Rd.,Brenham,TX,77833,,979-836-2859,E,,Public - call ahead,8am-5pm M-F,Cash D M V,,,,,,,,,,200-8,30.176389,-96.398849,2011-10-31,22302,POINT(-96.398849 30.176389)
LPG,Littlefield Butane Co,1120 Wayland Jennings,2 blocks west of Highway 54 and Loop 430,Littlefield,TX,79339,,806-385-3010,E,,Public - see hours,7am-5:30pm M-F,Cash Checks A D M V,,,,,,,,,,200-8,33.917399,-102.321198,2011-10-31,22304,POINT(-102.321198 33.917399)
LPG,Livingston Propane,4532 Highway 190 W,3 miles from Highway 59,Livingston,TX,77351,,936-967-4237,E,,Public - see hours,8am-5pm M-F,Cash D M V,,,,,,,,,,200-8,30.735691,-94.99337,2011-10-31,22305,POINT(-94.99337 30.735691)
LPG,Lone Star Propane,14755 W Expressway 83,At Bass,Harlingen,TX,78552,,956-425-3669,E,,Public - see hours,8am-5pm daily,Cash Checks A D M V,,,,,,,,,,GPS,26.179956,-97.788903,2011-10-31,22308,POINT(-97.788903 26.179956)
LPG,Longhorn Propane,1763 FM 2673,1.5 miles west of Highway 306,Canyon Lake,TX,78133,,830-964-2525,E,,Public - see hours,"8am-5pm M-F, 9am-12pm Sat",Cash Checks M V,,,,,,,,,,200-8,29.847438,-98.177006,2011-10-31,22309,POINT(-98.177006 29.847438)
LPG,M & M Fuels,7104 US 84,,Hermleigh,TX,79526,,325-863-2227,E,,Public - call ahead,8am-5pm M-F,Cash Checks,,,,,,,,,,200-8,32.637497,-100.766183,2011-10-31,22317,POINT(-100.766183 32.637497)
LPG,Lamesa Butane,501 S Lynn,At intersection of Highway 87 and 180,Lamesa,TX,79331,,806-872-5200,E,,Public - call ahead,8am-5:30pm M-F,Cash A D M V,,,,,,,,,,200-8,32.7292151,-101.9477285,2011-10-31,22320,POINT(-101.9477285 32.7292151)
LPG,Maass Butane Co,491 S Main,Hwy 77 South,Giddings,TX,78942,,979-542-3384,E,,Public - see hours,8am-5pm M-F,Cash Checks M V,,,,,,,,,,200-8,30.179523,-96.938469,2011-10-31,22321,POINT(-96.938469 30.179523)
LPG,Enderby Gas,5549 Miller Rd,1.5 miles north of Krum,Krum,TX,76249,,940-482-3225,E,,Public - see hours,"8am-5pm M-F, 8am-12pm Sat (Sat hours in winter only)",Cash M V,,,,,,,,,,200-8,33.2781329,-97.2512239,2011-10-31,22329,POINT(-97.2512239 33.2781329)
LPG,Jim Black Oil Co,801 Broadway,Right on the corner,Hart,TX,79043,,806-938-2165,E,,Public - see hours,7am-6pm M-F,Cash Checks M V,,,,,,,,,,200-8,34.3794901,-102.1158495,2011-10-31,22334,POINT(-102.1158495 34.3794901)
LPG,Johnson City Hydro Gas Co,410 Highway 281 S,3 miles south of Highway 290,Johnson City,TX,78636,,830-868-7412,E,,Public - see hours,8am-5pm M-F,Cash D M V,,,,,,,,,,200-8,30.270231,-98.399215,2011-10-31,22338,POINT(-98.399215 30.270231)
LPG,Karcher Oil Co,12404 Highway 70,9 miles south of Vernon,Vernon,TX,76384,,940-552-6661,E,,Public - call ahead,"7am-6pm M-F, 7am-12pm Sat",Cash A D M V,,,,,,,,,,200-8,34.0800507,-99.3825717,2011-10-31,22341,POINT(-99.3825717 34.0800507)
LPG,Katy Butane Co,6803 Highway Blvd,"South of Highway 90, just west of high school",Katy,TX,77494,,281-391-3439,E,,Public - see hours,"8am-5pm M-F, 8am-12pm Sat",Cash Checks A D M V,,,,,,,,,,200-8,29.7857852,-95.8316596,2011-10-31,22342,POINT(-95.8316596 29.7857852)
LPG,Kendrick Oil Co,824 Main St,South of Highway 60,Friona,TX,79035,,806-250-2751,E,,Public - see hours,"7am-5:30pm M-F, 7am-12pm Sat",Cash Checks A D M V,,,,,,,,,,200-8,34.641704,-102.7185365,2011-10-31,22343,POINT(-102.7185365 34.641704)
LPG,Kerrville Butane Co,229 Highway 27 W,,Ingram,TX,78025,,830-367-5989,E,,Public - see hours,"8am-5pm M-F, 8am-12pm Sat (Sat hours in winter only)",Cash Checks,,,,,,,,,,200-8,30.073724,-99.234262,2011-10-31,22344,POINT(-99.234262 30.073724)
LPG,Independent Propane Co,411 W Grand Ave,At N Alamo,Marshall,TX,75671,,903-935-7227,E,,Public - see hours,8am-12pm and 1pm-5pm M-F,Cash A D M V,,,,,,,,,,200-8,32.5484664,-94.3703993,2011-10-31,22348,POINT(-94.3703993 32.5484664)
LPG,Harvey's LP Gas - Shell,32623 State Highway 100,At FM 1575,Los Fresnos,TX,78566,,956-233-4356,E,,Public - see hours,7am-10pm 7 days a week,Cash A D M V,,,,,,,,,,200-8,26.0732307,-97.498679,2011-10-31,22356,POINT(-97.498679 26.0732307)
LPG,Highland Building Materials,1008 E Main St,,Clarksville,TX,75426,,903-427-3808,E,,Public - see hours,"7:30am-5pm M-F, 7:30am-12pm Sat",Cash M V,,,,,,,,,,200-8,33.6101305,-95.057124,2011-10-31,22358,POINT(-95.057124 33.6101305)
LPG,Hill Gas,14649 Highway US 377 S,3 miles north of Dublin,Dublin,TX,76446,,254-445-2161,E,,Public - see hours,"8am-5pm M-F, 8am-12pm Sat (Sat hours in winter only)",Cash A D M V,,,,,,,,,,200-8,32.133597,-98.307989,2011-10-31,22359,POINT(-98.307989 32.133597)
LPG,Hilltop Travel Trailers,700 W Red Oak Rd,"I-35 E, exit 410",Red Oak,TX,75119,,972-617-8311,E,,Public - see hours,"8:30am-5pm M-F, 8:30am-2pm Sat",Cash D M V,,,,,,,,,,200-8,32.5209649,-96.823589,2011-10-31,22360,POINT(-96.823589 32.5209649)
LPG,Hop's Propane & Performance,17017 Highway 6,"1 mile from Santa Fe High School, big American Flag, smiley face",Santa Fe,TX,77510,,409-927-4677,E,,Public - see hours,"9am-6pm M-F, 9am-4pm Sat",Cash A D M V,,,,,,,,,,200-8,29.396538,-95.159294,2011-10-31,22365,POINT(-95.159294 29.396538)
LPG,Hunt-Ingram Gas Co,2406 Junction Hwy,At intersection of Highway 27 and Highway 39,Kerrville,TX,78028,,830-895-5331,E,,Public - see hours,"8am-5pm M-F, 8am-12pm Sat",Cash Checks A D M V,,,,,,,,,,200-8,30.0737329,-99.1972814,2011-10-31,22369,POINT(-99.1972814 30.0737329)
LPG,Ikard & Newsom - Servigas,13307 Montana,1 mile east of El Paso,El Paso,TX,79938,,915-858-8800,E,,Public - see hours,8am-5pm M-F,Cash A D M V,,,,,,,,,,200-8,31.812502,-106.226957,2011-10-31,22374,POINT(-106.226957 31.812502)
LPG,Ikard & Newsom - Servigas,135 Rio W,Off Artcraft,El Paso,TX,79932,,915-585-1177,E,,Public - see hours,8am-4:30pm M-F; 8am-1pm Sat,Cash A D M V,,,,,,,,,,200-8,31.88067,-106.596892,2011-10-31,22375,POINT(-106.596892 31.88067)
LPG,Hardwick LPG,733 S Blundell St,S Blundell & IH-20,Ranger,TX,76470,,254-647-3402,E,,Public - see hours,"8am-5pm M-F, 8am-12pm Sat",Cash Checks A M V,,,,,,,,,,200-8,32.4692481,-98.6624736,2011-10-31,22377,POINT(-98.6624736 32.4692481)
